what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322196427125
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322196457953
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322196474859
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322196477281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322196487078
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322196555765
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322196700828
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1322196749250
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322196779562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322196921375
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1322196937546
opened,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322196937812
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322196937875
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322196956500
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322197079687
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322197085640
closed,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322197085640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322198355500
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322198381562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322198996484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322199225171
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322199829484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322200754671
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322200763000
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322538236852
