what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118280406
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118306078
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322118306109
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118373093
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118374312
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322118374312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118381578
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118385125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118486156
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322118488312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322153997234
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154098250
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322154098265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154204546
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154207125
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1322154207125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154209531
opened,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322154224296
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322154224375
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.window.newEditor",1322154224375
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322154227109
closed,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1322154227109
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154228890
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1322154239218
activated,editor,org.eclipse.wst.html.ui,1.0.400.v200904292008,"org.eclipse.wst.html.core.htmlsource.source",1322154239343
